ChangeReportConverter 1.0.0.0 Copyright © KEBA 2012
Fileformat Version: 1
Versions: project:KePlast.IEC_01.42_1.00@\Kemro_Applications ---> project:KePlast.IEC_01.42@\Kemro_Applications
File creation time: 2019/2/19 14:48:06
User: LANGROUP\yanghl

IMM\ieccontrol\system\FCreateIECVersion.pu;CR_xxxxxxx;
IMM\ieccontrol\GlobalBaseArchives\AutoCalibTypes.tu;CR_0061991 --> CR_0033251: datasize of function unit Injection1 too big;
IMM\ieccontrol\GlobalBaseArchives\FCreateIECBaseVersion.pu;CR_xxxxxxx;
IMM\ieccontrol\GlobalBaseArchives\ABAutoIdentRun.pu;CR_0061991 --> CR_0033251: datasize of function unit Injection1 too big;
IMM\ieccontrol\PumpGeneral\ABPumpPressureCalibCycle.pu;CR_0061991 --> CR_0033251: datasize of function unit Injection1 too big;
IMM\ieccontrol\PumpGeneral\ABPumpVelocityCalibCycle.pu;CR_0061991 --> CR_0033251: datasize of function unit Injection1 too big;
IMM\ieccontrol\InjectionGeneral\ABIdentMovement.pu;CR_0061991 --> CR_0033251: datasize of function unit Injection1 too big;
IMM\ieccontrol\InjectionGeneral\ABBackPressureCalib.pu;CR_0061991 --> CR_0033251: datasize of function unit Injection1 too big;
IMM\ieccontrol\InjectionGeneral\ABBackPressureCalibCycle.pu;CR_0061991 --> CR_0033251: datasize of function unit Injection1 too big;
IMM\ieccontrol\InjectionGeneral\ABInjectionCalib.pu;CR_0061991 --> CR_0033251: datasize of function unit Injection1 too big;
IMM\ieccontrol\InjectionGeneral\ABInjectionCalibCycle.pu;CR_0061991 --> CR_0033251: datasize of function unit Injection1 too big;
IMM\ieccontrol\InjectionGeneral\ABRPMCalib.pu;CR_0061991 --> CR_0033251: datasize of function unit Injection1 too big;
IMM\ieccontrol\InjectionGeneral\ABRPMCalibCycle.pu;CR_0061991 --> CR_0033251: datasize of function unit Injection1 too big;
IMM\ieccontrol\InjectionGeneral\FBAutoCalibInjectionInner.pu;CR_0061991 --> CR_0033251: datasize of function unit Injection1 too big;
IMM\ieccontrol\InjectionGeneral\FBAutoCalibInjectionInner2.pu;CR_0061991 --> CR_0033251: datasize of function unit Injection1 too big;
IMM\ieccontrol\NozzleGeneral\ABIdentMovement.pu;CR_0061991 --> CR_0033251: datasize of function unit Injection1 too big;
IMM\ieccontrol\EjectorGeneral\ABIdentMovement.pu;CR_0061991 --> CR_0033251: datasize of function unit Injection1 too big;
IMM\ieccontrol\MoldGeneral\ABIdentMovement.pu;CR_0061991 --> CR_0033251: datasize of function unit Injection1 too big;
IMM\ieccontrol\AutoCalibration1\ABAutoCalibration.pu;CR_0061991 --> CR_0033251: datasize of function unit Injection1 too big;
IMM\ieccontrol\AutoCalibration1\ABAutoIdentRamp.pu;CR_0061991 --> CR_0033251: datasize of function unit Injection1 too big;
IMM\ieccontrol\AutoCalibration1\ABAutoIdentSpeed.pu;CR_0061991 --> CR_0033251: datasize of function unit Injection1 too big;
IMM\ieccontrol\AutoCalibration1\ABAutoIdentSpeedMeasure.pu;CR_0061991 --> CR_0033251: datasize of function unit Injection1 too big;
